Fuel,Mean_Emissions,Volatility,Max_Emissions,Slope,Trend_Class
Aviation turbine fuel,3.646033876962941,0.9759126998978985,5.294499209896886,-0.07971491973831896,Decreasing
Burning oil,10.09596204516511,1.566889258652696,13.047930645461832,0.03490258230193854,Stable
DERV,58.513570340545314,13.531559407664671,78.88323911480656,1.2447796949796637,Increasing
Fuel oil,13.87317851776615,12.999535922434868,44.49120056320096,-1.1891351753489219,Decreasing
Gas oil,24.027838098729354,5.198297403433289,31.341961246990234,-0.5029320668217528,Decreasing
Motor spirit,53.80536493144041,15.510493798921598,75.96988012680744,-1.527836360699944,Decreasing
Natural gas,167.43847006854432,29.760703527780695,209.37025309208673,-0.016872580835120218,Stable
Orimulsion,0.44022862747417685,0.965714119447333,3.102220000876329,-0.058709647062157394,Decreasing
Other gases,17.268626392022895,5.748490858427042,28.001974210459604,-0.5198712226671339,Decreasing
Other petroleum products,1.6589149548889484,0.44285115916050793,2.3225896155918244,-0.03747415368802538,Stable
Petroleum gases,13.738846253101846,1.8164184586543208,16.370876331834207,-0.1343533591900592,Decreasing
Total,364.5070341066414,42.07322952168691,418.1354398228958,-2.787217208769834,Decreasing
